,STATE,Total.Seats,"Total.Senate
",Senate.Dem,Senate.Rep,"Senate
other","Total
House",House.Dem,House.Rep,"House
other",Leg.Control,Gov.Party,State.Control,Year
28,New Hampshire,424,24,10,14,,400,188,207,"1, 4v",Rep,Rep,Rep,2022
29,New Jersey,120,40,24,16,,80,46,34,,Dem,Dem,Dem,2022
30,New Mexico,112,42,26,15,1,70,44,24,"1, 1v",Dem,Dem,Dem,2022
31,New York,213,63,43,20,,150,104,43,"1, 2v",Dem,Dem,Dem,2022
32,North Carolina,170,50,22,28,,120,51,69,,Rep,Dem,Divided,2022
33,North Dakota,141,47,7,40,,94,14,80,,Rep,Rep,Rep,2022
34,Ohio,132,33,8,25,,99,34,64,1v,Rep,Rep,Rep,2022
35,Oklahoma,149,48,9,39,,101,18,82,1v,Rep,Rep,Rep,2022
36,Oregon,90,30,18,11,1,60,37,22,1v,Dem,Dem,Dem,2022
37,Pennsylvania,253,50,21,28,1,203,88,112,3v,Rep,Dem,Divided,2022
38,Rhode Island,113,38,33,5,,75,65,10,,Dem,Dem,Dem,2022
39,South Carolina,170,46,16,29,1v,124,43,79,2v,Rep,Rep,Rep,2022
40,South Dakota,105,35,3,32,,70,8,62,,Rep,Rep,Rep,2022
41,Tennessee,132,33,5,27,1v,99,26,73,,Rep,Rep,Rep,2022
42,Texas,181,31,13,18,,150,64,85,1v,Rep,Rep,Rep,2022
43,Utah,104,29,6,23,,75,17,58,,Rep,Rep,Rep,2022
44,Vermont,180,30,21,7,2,150,95,43,12,Dem,Rep,Divided,2022
45,Virginia,140,40,21,19,,100,48,52,,Divided,Rep,Divided,2022
46,Washington,147,49,29,20,,98,57,41,,Dem,Dem,Dem,2022
47,West Virginia,134,34,11,23,,100,22,78,,Rep,Rep,Rep,2022
48,Wisconsin,132,33,12,21,,99,38,61,,Rep,Dem,Divided,2022
49,Wyoming,90,30,2,28,,60,7,51,2,Rep,Rep,Rep,2022
0,Alabama,140,35,7,25,3v,105,28,77,,Rep,Rep,Rep,2023
1,Alaska,60,20,9,11,,40,13,21,6,Rep,Rep,Rep,2023
2,Arizona,90,30,14,16,,60,29,31,,Rep,Dem,Divided,2023
3,Arkansas,135,35,6,29,,100,18,82,,Rep,Rep,Rep,2023
4,California,120,40,32,8,,80,62,18,,Dem,Dem,Dem,2023
5,Colorado,100,35,23,12,,65,46,19,,Dem,Dem,Dem,2023
6,Connecticut,187,36,24,12,,151,96,53,2v,Dem,Dem,Dem,2023
7,Delaware,62,21,15,6,,41,26,15,,Dem,Dem,Dem,2023
8,Florida,160,40,12,28,,120,35,84,1v,Rep,Rep,Rep,2023
9,Georgia,236,56,23,33,,180,79,100,1v,Rep,Rep,Rep,2023
10,Hawaii,76,25,23,2,,51,45,6,,Dem,Dem,Dem,2023
11,Idaho,105,35,7,28,,70,11,59,,Rep,Rep,Rep,2023
12,Illinois,177,59,40,19,,118,78,40,,Dem,Dem,Dem,2023
13,Indiana,150,50,10,40,,100,30,70,,Rep,Rep,Rep,2023
14,Iowa,150,50,16,34,,100,36,64,,Rep,Rep,Rep,2023
15,Kansas,165,40,11,28,1,125,40,85,,Rep,Dem,Divided,2023
16,Kentucky,138,38,7,30,1v,100,20,80,,Rep,Dem,Divided,2023
